Cat,Excluir,SubCat1,SubCat2,SubCat3,SubCat4,SubCat5,SubCat6,SubCat7,SubCat8,SubCat9,SubCat10,SubCat11,SubCat12,SubCat13,SubCat14,SubCat15
1-Hogar,False,1-Alimentación,1-Productos Hogar,1-Accesorios,1-Suministros,1-Subscripciones,1-Gastos Comunidad,1-Mantenimiento,1-Modificaciones,,,,,,,
2-Trabajo,False,2-Nómina,2-Gasto Viajes,2-Otros,,,,,,,,,,,,
3-Ocio,False,3-Viajes,3-Juerga,3-Transporte,3-Alojamiento,3-Bares,3-Restaurante,3-Accesorios,3-Cine,3-Teatro,,,,,,
4-Vehículos,False,4-Transporte,4-Mantenimiento,4-ITV,4-Impuestos,4-Seguro,4-Compra,4-Multas,,,,,,,,
5-IRPF,False,5-Declaración Renta,,,,,,,,,,,,,,
6-Inversiones,False,6-Inmobiliario,6-Acciones,6-Cuenta remunerada,,,,,,,,,,,,
7-Compras,False,7-Ropa,7-Zapatos,7-Tecnología,7-Regalos,,,,,,,,,,,
8-Deporte,False,8-Ginmasio,8-Ropa,8-Zapatos,8-Accesorios,,,,,,,,,,,
9-Traspasos Propios,True,9-Traspasos Propios,,,,,,,,,,,,,,
